what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1364224488184
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1364224488184
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1364224488200
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1364224488200
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1364224488200
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1364224488200
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1364224488200
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1364224488200
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1364224488200
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1364224488200
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1364224488200
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1364224488200
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1364224488200
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1364224488200
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1364224488200
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1364224488200
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1364224488200
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1364224488200
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1364224488200
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1364224488200
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1364224488200
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1364224488200
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1364224488247
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1364224488247
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1364224488247
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1364224488247
started,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1364224488247
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1364224488247
os,sysinfo,,,"win32",1364224488247
arch,sysinfo,,,"x86",1364224488247
ws,sysinfo,,,"win32",1364224488247
locale,sysinfo,,,"en_US",1364224488247
processors,sysinfo,,,"4",1364224488247
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364224488247
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1364224488247
java.specification.name,sysinfo,,,"Java Platform API Specification",1364224488247
java.specification.vendor,sysinfo,,,"Oracle Corporation",1364224488247
java.specification.version,sysinfo,,,"1.7",1364224488247
java.vendor,sysinfo,,,"Oracle Corporation",1364224488247
java.version,sysinfo,,,"1.7.0_05",1364224488247
java.vm.info,sysinfo,,,"mixed mode, sharing",1364224488247
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1364224488247
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364224488247
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1364224488247
java.vm.specification.version,sysinfo,,,"1.7",1364224488247
java.vm.vendor,sysinfo,,,"Oracle Corporation",1364224488247
java.vm.version,sysinfo,,,"23.1-b03",1364224488247
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1364224488418
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1364224488715
error,log,,,"Unable to create editor ID com.objectaid.uml.ClassDiagramEditor: No editor descriptor for id com.objectaid.uml.ClassDiagramEditor",1364224508543
opened,editor,,,"com.objectaid.uml.ClassDiagramEditor",1364224508543
opened,editor,,,"com.objectaid.uml.ClassDiagramEditor",1364224508933
activated,editor,,,"com.objectaid.uml.ClassDiagramEditor",1364224508948
closed,editor,,,"com.objectaid.uml.ClassDiagramEditor",1364224508948
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1364224509541
closed,editor,,,"com.objectaid.uml.ClassDiagramEditor",1364224509541
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364224512458
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1364224526592
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1364224528542
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1364224528635
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364224528682
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364224529041
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1364224529213
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1364224529322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364224557152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364224578259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364224619257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364224620193
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364224620411
